extension	file_count	size_bytes	hash_count
.styl	10	477581	10
.fingerprint-slack	10	0	0
.indexBigDates-slack	9	0	0
.exe-slack	9	0	0
.0132b2147001162d3d0f68e7413658d8f080c47af9-slack	9	0	0
.exe	9	460800	9
.indexIds-slack	9	0	0
.indexArrays-slack	9	0	0
.mapping	9	5914624	9
.db-journal	9	0	9
.sqlitedb	9	35028992	9
.shadow	9	6528	6
.0132b2147001162d3d0f68e7413658d8f080c47af9	9	477	9
.db-slack	8	0	0
.apk-slack	8	0	0
.info	8	203901	8
.directoryStoreFile	8	393216	6
.mapping-slack	8	0	0
.apk	8	55304198	8
.imovieevent	8	233324544	8
.collection-slack	7	0	0
.eml	7	4285715	7
.syncdb	7	25116672	7
.abcddb-wal	7	7329608	7
.01898ede8c7c77ae97aa85ce46b3ae1bafa2b5952c	7	1701	7
.abcddb-shm	7	229376	7
.abcddb	7	32583680	7
.01898ede8c7c77ae97aa85ce46b3ae1bafa2b5952c-slack	7	0	0
.info-slack	7	0	0
.indexUpdates-slack	7	0	0
.indexPostings-slack	7	0	0
.indexPositions-slack	7	0	0
.drawing	7	0	7
.indexGroups-slack	7	0	0
.shadow-slack	7	0	0
.bbfw	7	0	0
.eml-slack	7	0	0
.aux-slack	7	0	0
.aux	7	2040	7
.tar	7	1718272	7
.collection	7	11188	7
.conf-slack	6	0	0
.01280ae28eb43bc26d0e1a41d85409e7417c4396ae-slack	6	0	0
.bak	6	17408	6
.conf	6	3722	6
.1	6	636666	2
.archive-slack	6	0	0
.skindex	6	27811840	6
.tar-slack	6	0	0
.abcdi-slack	6	0	0
.archive	6	27884	6
.01280ae28eb43bc26d0e1a41d85409e7417c4396ae	6	1800	6
.abcdi	6	2588	6
.lock	6	930	6
.ini	5	938	5
.ini-slack	5	0	0
.indexTermIds	5	3005880	4
.indexPositionTable	5	3005880	4
.metadata_never_index	5	0	5
.sqlitedb-wal-slack	5	0	0
.sqlitedb-wal	5	3193160	5
.sqlitedb-shm	5	163840	5
.bin-slack	5	0	0
.htm	5	1564503	5
.htm-slack	5	0	0
.db-lock	4	0	4
.mp3-slack	4	0	0
.mp3	4	6377918	4
.graphdb-wal	4	0	4
.019a34200177aa8ce137633217160611aca2cc9b56	4	15480	4
.pb	4	564151	4
.pb-slack	4	0	0
.pbd	4	508011	4
.pbd-slack	4	0	0
.abcddb-wal-slack	4	0	0
.019a34200177aa8ce137633217160611aca2cc9b56-slack	4	0	0
.updates	4	6	2
.updates-slack	4	0	0
.01cc9a5b7b4d9ca88b0e6ed652a617d1dd1e2b0f57	4	212	4
.XMP	4	3275	4
.XMP-slack	4	0	0
.fone-Recover	4	24768304	4
.ipsw	4	11566867083	4
.ipsw-slack	4	0	0
.fone-Recover-slack	4	0	0
.01cc9a5b7b4d9ca88b0e6ed652a617d1dd1e2b0f57-slack	4	0	0
.synciddb	4	2523136	4
.graphdb-shm	4	131072	4
.graphdb	4	4911104	4
.trustcache	3	0	0
.clsrecord	3	79323	3
.lck	3	0	3
.016a2954caedd2242c078fe8ecaf1a950a7e84bdc1-slack	3	0	0
.012b13f22e98749dd035b011e1c4ffe4ee64daa888	3	159	3
.04e37539acd6ccaa6f3226c2dc440dab8143d92006-slack	3	0	0
.webarchive	3	3316671	3
.blog	3	5709515	3
.blog-slack	3	0	0
.webarchive-slack	3	0	0
.webloc	3	1003	3
.04fc240e368cb119388d4e9ad5cb91955209643e54	3	977790	3
.pklg	3	206234	2
.04fc240e368cb119388d4e9ad5cb91955209643e54-slack	3	0	0
.sig	3	208896	3
.shadowIndexTermIds	3	600824	2
.shadowIndexPositionTable	3	595216	2
.shadowIndexDirectory-slack	3	0	0
.shadowIndexDirectory	3	4112	2
.cache	3	12894937	3
.shadowIndexCompactDirectory-slack	3	0	0
.shadowIndexCompactDirectory	3	354	2
.shadowIndexArrays	3	1638400	2
.m4v-slack	3	0	0
.m4v	3	271995584	3
.webloc-slack	3	0	0
.cts	3	0	3
.storedata-wal-slack	3	0	0
.storedata-wal	3	2488576	3
.cpgz	3	1333107	3
.cpgz-slack	3	0	0
.cpx	3	1449	3
.045095e000f7aa84020eed20fe2bb4c1ded125a363	3	9496335	3
.3968BE90-A549-4310-9E7E-511CC3F8420F	3	0	3
.cpx-slack	3	0	0
.storedata-shm	3	98304	3
.storedata	3	761856	3
.enh	3	434176	3
.nobackup	3	0	3
.04e37539acd6ccaa6f3226c2dc440dab8143d92006	3	8332524	3
.eot	3	59012	3
.clsrecord-slack	3	0	0
.state	3	8192	2
.016a2954caedd2242c078fe8ecaf1a950a7e84bdc1	3	10710	3
.eot-slack	3	0	0
.045095e000f7aa84020eed20fe2bb4c1ded125a363-slack	3	0	0
.012b13f22e98749dd035b011e1c4ffe4ee64daa888-slack	3	0	0
.pklg-slack	2	0	0
.dmp	2	648064	2
.dmp-slack	2	0	0
.01695644ffe0ec3c1fc0f3b381e7e7545c92ac8898	2	52612	2
.01695644ffe0ec3c1fc0f3b381e7e7545c92ac8898-slack	2	0	0
.04e76ab8e96083089a59bac6aefdab204b8c4237ee	2	2850780	2
.Chrome	2	702	2
.QuarantineEventsV2	2	1449984	2
.04e76ab8e96083089a59bac6aefdab204b8c4237ee-slack	2	0	0
.04e90cf17dc87067ce587d8c51d224a2f81f4b1e31	2	5677456	2
.04e90cf17dc87067ce587d8c51d224a2f81f4b1e31-slack	2	0	0
.043ebe001f007d8077260eb8153015453246e8d010	2	708144	2
.043ebe001f007d8077260eb8153015453246e8d010-slack	2	0	0
.013caa85e6a9f157669f36f4f1d5fd34e5c150df7e	2	2402	2
.013caa85e6a9f157669f36f4f1d5fd34e5c150df7e-slack	2	0	0
.04c884c12b5d24d8d2a65b35a6916b6601528ad3f5	2	2734234	2
.04c884c12b5d24d8d2a65b35a6916b6601528ad3f5-slack	2	0	0
.01d1c02828f35f4f1f3fae34102c47eddbe334a1e7	2	614	2
.01d1c02828f35f4f1f3fae34102c47eddbe334a1e7-slack	2	0	0
.01953c9babdcffdca9d78c9435e3292ed8726db64b	2	770	2
.flexohidden	2	0	2
.01953c9babdcffdca9d78c9435e3292ed8726db64b-slack	2	0	0
.019711b68a79101f388de9e0a0a49c40e4ade834a5	2	614	2
.019711b68a79101f388de9e0a0a49c40e4ade834a5-slack	2	0	0
.01d8cdde1d6024514664bfbe0b8c3e3521e5c07e50	2	614	2
.01d8cdde1d6024514664bfbe0b8c3e3521e5c07e50-slack	2	0	0
.fonts	2	1235100	2
.fonts-slack	2	0	0
.01d9ff5e77072d4f8f951f2e4f656dda0ec6d91147	2	770	2
.01d9ff5e77072d4f8f951f2e4f656dda0ec6d91147-slack	2	0	0
.016bf0c5d43a9a41206306022f76baa74d8a618b02	2	614	2
.016bf0c5d43a9a41206306022f76baa74d8a618b02-slack	2	0	0
.01522b927516d33a0a926941b724d74e1e53af1f0e	2	774	2
.01522b927516d33a0a926941b724d74e1e53af1f0e-slack	2	0	0
.04f34463c2f43b78c46c44925e60517830c7459178	2	3747628	2
.04f34463c2f43b78c46c44925e60517830c7459178-slack	2	0	0
.047a752fbc9f5e72d145773758317df4ee7daf17f0	2	2307810	2
.047a752fbc9f5e72d145773758317df4ee7daf17f0-slack	2	0	0
.047cc070e20b7c2b1524722ace22061738cbc514ee	2	3711686	2
.047cc070e20b7c2b1524722ace22061738cbc514ee-slack	2	0	0
.04fbb134384151b0e3de8f61893fcb1a1ca6bcc811	2	347366	2
.04fbb134384151b0e3de8f61893fcb1a1ca6bcc811-slack	2	0	0
.01ec91096685260a1b535571b43c4c57ae0008f5c2	2	770	2
.StorageManagementExtension	2	158	2
.StorageManagementExtension-slack	2	0	0
.01ec91096685260a1b535571b43c4c57ae0008f5c2-slack	2	0	0
.042329c96dbd6c0b1aad776ec8fc102c02eb7c0903	2	2742574	2
.042329c96dbd6c0b1aad776ec8fc102c02eb7c0903-slack	2	0	0
.01139491590bb43ba7027da1f75d7801373e2ca2d9	2	1842	2
.01139491590bb43ba7027da1f75d7801373e2ca2d9-slack	2	0	0
.0480a0ffbd28a1c5a4b2e265e77f9fb6914c4d679c	2	4163104	2
.0480a0ffbd28a1c5a4b2e265e77f9fb6914c4d679c-slack	2	0	0
.iCal	2	89	2
.iCal-slack	2	0	0
.1-slack	2	0	0
.01efc820a64d5252c247c65418d1bf8a01e829baf0	2	1358	2
.01efc820a64d5252c247c65418d1bf8a01e829baf0-slack	2	0	0
.04d5a52d4a8a1d19e42ec9aa9d84196df13b1983ae	2	4115132	2
.04d5a52d4a8a1d19e42ec9aa9d84196df13b1983ae-slack	2	0	0
.011b1d9c5d08a8de249ff5f812cf2d52b4dff48853	2	1358	2
.011b1d9c5d08a8de249ff5f812cf2d52b4dff48853-slack	2	0	0
.ico	2	19585	2
.ico-slack	2	0	0
.2	2	133257	2
.2-slack	2	0	0
.indexPositionTable-slack	2	0	0
.indexTermIds-slack	2	0	0
.M4V	2	116819	2
.ipa	2	1287336	2
.ipa-slack	2	0	0
.iphone7	2	0	0
.ivf-vector-indexes	2	0	0
.ivf-vector-indexes-slack	2	0	0
.keychain-db	2	958832	2
.keychain-db-slack	2	0	0
.abcdmr	2	90112	2
.abcdmr-shm	2	65536	2
.abcdmr-wal	2	8304	2
.abcdmr-wal-slack	2	0	0
.loc	2	2085	1
.loc-slack	2	0	0
.lock-slack	2	0	0
.M4V-slack	2	0	0
.map	2	3547976	2
.map-slack	2	0	0
.01a201fe828fbbc10c11c5c17592ebdb969db34b4a	2	614	2
.01a201fe828fbbc10c11c5c17592ebdb969db34b4a-slack	2	0	0
.01a3a106d867946a9fc39b9e9c003dc8f546cf263f	2	614	2
.01a3a106d867946a9fc39b9e9c003dc8f546cf263f-slack	2	0	0
.5	2	6621	1
.01340ffa829263c49653323e1dcddcd83401302706	2	774	2
.01340ffa829263c49653323e1dcddcd83401302706-slack	2	0	0
.01120a6a921967a6f77e6cb17bcf514eb2ec39f5ac	2	770	2
.01120a6a921967a6f77e6cb17bcf514eb2ec39f5ac-slack	2	0	0
.msg	2	0	2
.n71	2	0	0
.0135a3f184e986160354c9338faa9ff449fbb43d0f	2	35978	2
.0135a3f184e986160354c9338faa9ff449fbb43d0f-slack	2	0	0
.011f979f23910adc6c6352daee789d29e77b83ea14	2	770	2
.011f979f23910adc6c6352daee789d29e77b83ea14-slack	2	0	0
.01ae49ca6fb19e38bdc2b4ba6227509ad6526d500b	2	614	2
.bak-slack	2	0	0
.01ae49ca6fb19e38bdc2b4ba6227509ad6526d500b-slack	2	0	0
.0184247d70b9ea76342ec1159bbc010d27b64d8e65	2	106	2
.0184247d70b9ea76342ec1159bbc010d27b64d8e65-slack	2	0	0
.pkg	2	13057970	2
.pkg-slack	2	0	0
.PhotosCacheData-slack	2	0	0
.013705ac419696b87d6416967a46d2bbbfbb57eb5f	2	50502	2
.pma	2	5242880	2
.pnr	2	2897180	2
.pnr-slack	2	0	0
.013705ac419696b87d6416967a46d2bbbfbb57eb5f-slack	2	0	0
.pptx	2	5525382	2
.pptx-slack	2	0	0
.AddressBook	2	96	2
.AddressBook-slack	2	0	0
.cache-slack	2	0	0
.04b94a9b436edde5766590a969a2e6d61a238304e1	2	5154550	2
.04b94a9b436edde5766590a969a2e6d61a238304e1-slack	2	0	0
.rsf	2	381682	2
.rsf-slack	2	0	0
.01b9eb615d975566e8c97603c15b1f3c9876da5c80	2	614	2
.01b9eb615d975566e8c97603c15b1f3c9876da5c80-slack	2	0	0
.04b9f30c68a9e6b0606eba944a16d658d3be6219bf	2	461474	2
.calculator	2	119	2
.safaripush	2	334787	2
