object	size_bytes	modified_ts	note
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/		2022-04-11 22:42:32	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/		2022-04-11 23:01:07	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0000/		2022-04-11 22:42:32	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0001/		2022-04-11 22:47:10	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0002/		2022-04-11 22:52:19	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0003/		2022-04-11 22:57:33	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0004/		2022-04-11 22:57:55	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0005/		2022-04-11 22:59:18	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0006/		2022-04-11 23:00:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0007/		2022-04-11 23:01:06	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0008/		2022-04-11 23:01:07	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Lion.created		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/dbStr-6.map.buckets		2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/dbStr-6.map.header	84	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/dbStr-6.map.offsets	16368	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/indexState	28	2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journalAttr.5		2024-11-21 23:40:22	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journalExclusion		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.assisted_import_post/		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.assisted_import_pre/		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.corespotlight/		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.health_check/		2022-06-01 02:44:09	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.live/		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.live_priority/		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.live_system/		2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.live_user/		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.migration/		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.migration_secondchance/		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.repair/		2022-04-28 16:08:27	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.scan/		2022-04-11 23:02:30	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.scan/retire.363296		2022-04-11 23:02:29	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.directoryStoreFile	65536	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.directoryStoreFile.shadow	56640	2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.indexArrays	4194304	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.indexBigDates	131072	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.indexCompactDirectory	2048	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.indexDirectory	16448	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.indexGroups	26215	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.indexHead	4096	2024-11-21 23:40:22	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.indexIds	262144	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.indexPositionTable	2097152	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.indexPositions	1048576	2024-11-21 23:40:20	
